time,open,high,low,close,Volume,Volume MA
1675195200,1598.01,1598.23,1583.87,1586.97,518.14096843,951.3569958530037
1675198800,1586.81,1589.47,1565.04,1576.74,1797.761629,1020.6194933070037
1675202400,1576.99,1600,1571.6,1590.42,783.8470197,1054.0831740560038
1675206000,1590.37,1590.42,1581.52,1586.01,300.54845206,1031.4827546090037
1675209600,1586.01,1589.85,1577.84,1583.23,316.29565783,1029.6519783815036
1675213200,1583.39,1593.01,1580.34,1588.37,541.71537576,1015.0157866345037
1675216800,1588.48,1588.48,1582.39,1585.25,499.44068539,963.6986080040036
1675220400,1585.26,1585.26,1579.61,1583.44,157.95757425,911.5818419105035
1675224000,1583.44,1584.87,1581.71,1582.81,133.23028818,884.2143272295034
1675227600,1582.8,1585.08,1582.79,1582.87,51.06168672,880.6904401170034
1675231200,1582.79,1582.88,1573.24,1574.14,1355.19079985,938.9387218860032
1675234800,1574.01,1578.24,1570,1575,618.32835737,960.5931543005032
1675238400,1574.8,1575,1566.79,1569.23,1546.82544146,1028.2287858760033
1675242000,1569.23,1575.33,1568,1573.61,709.03365286,944.8305367425033
1675245600,1573.61,1575.55,1572,1575.19,657.3089018,828.9952448840033
1675249200,1575.18,1582.99,1575,1580.23,196.6314234,698.7612614290033
1675252800,1580.19,1583.02,1579.21,1579.21,572.79602932,684.4501771460033
1675256400,1579.21,1586.93,1572.99,1581.47,1693.25283189,750.1726860015033
1675260000,1581.55,1589.03,1576.93,1584.79,1563.6197329,783.7301600375033
1675263600,1584.79,1584.79,1573.58,1576.01,489.80980759,725.1398157880033
1675267200,1576.01,1579.69,1571.78,1574.99,735.93898715,736.0297167240034
1675270800,1575,1578.97,1568,1571.89,445.44300589,668.4137855685033
1675274400,1571.6,1584.37,1567.61,1580.57,3239.40647503,791.1917583350033
1675278000,1580.9,1628.28,1558,1617.61,12528.5892281,1402.5937971370033
1675281600,1617.61,1640.59,1614.99,1631.47,4713.6150361,1622.4597660505033
1675285200,1631.47,1647.34,1631.47,1635.79,3008.94719298,1745.8213569115032
1675288800,1635.81,1647.49,1635.35,1637.98,1164.72624237,1779.0856347605034
1675292400,1637.98,1647.85,1637.76,1641.6,1053.70760172,1823.8731361340033
1675296000,1641.6,1697,1640.4,1691.32,6731.02971298,2153.7631073740035
1675299600,1691.32,1691.32,1675.89,1676.67,2083.84724328,2255.402385202003
1675303200,1676.67,1678.35,1665.8,1671.2,867.03815054,2230.994752736503
1675306800,1671.21,1676.81,1671.2,1671.66,775.95390053,2238.876029894503
1675310400,1671.84,1675,1670.41,1672.83,257.00261271,2174.384888457003
1675314000,1673.15,1676.63,1670.21,1670.42,193.92869656,2148.629640642003
1675317600,1670.63,1671.31,1661.27,1666.24,864.38392406,2158.9833917550027
1675321200,1666.24,1670.6,1661.71,1665.23,1332.60494295,2215.7820677325026
1675324800,1665.24,1671.47,1663.41,1669.79,1229.9098063,2248.6377565815023
1675328400,1669.78,1675.08,1666.58,1674.86,313.26287927,2179.638258950502
1675332000,1674.8,1675.21,1668.29,1669.13,158.07988112,2109.361266361502
1675335600,1669.13,1672.5,1669.13,1671.99,588.46826118,2114.2941890410025
1675339200,1671.99,1677.5,1670.41,1677.5,319.8225674,2093.488368053502
1675342800,1677.38,1677.38,1670,1672.58,927.85937719,2117.609186618502
1675346400,1672.6,1689.48,1650,1656,3471.09764222,2129.1937449780016
1675350000,1656.05,1686.61,1652.61,1677.86,2600.21652507,1632.7751098265016
1675353600,1677.86,1683.73,1673.26,1673.28,1006.74446057,1447.4315810500016
1675357200,1673.28,1683.04,1672.18,1680.66,568.23954645,1325.3961987235016
1675360800,1680.67,1714.87,1680.57,1702.51,4610.57260915,1497.6885170625014
1675364400,1702.51,1703,1666.93,1675.44,3591.0354235,1624.5549081515014
1675368000,1674.94,1681.46,1670.8,1681.46,699.5373836,1322.9802916825015
1675371600,1680.1,1685.04,1633.87,1637.97,4252.92101299,1431.4339801680012
1675375200,1635.62,1660.7,1632.18,1655.04,1062.70461738,1441.2173035100013
1675378800,1655.05,1656.16,1637.28,1643.09,1697.54610168,1487.2969135675014
1675382400,1643.24,1649.25,1632.18,1647.02,516.95137125,1500.2943514945014
1675386000,1647.02,1650.67,1645.2,1645.36,952.18172501,1538.2070029170013
1675389600,1645.36,1647.98,1634.1,1639.52,1723.10183012,1581.1428982200014
1675393200,1639.52,1641.69,1630.97,1641.69,228.20892832,1525.9230974885015
1675396800,1641.69,1644.45,1639.51,1640.43,152.29425957,1472.0423201520016
1675400400,1640.01,1644.6,1638.4,1644.39,253.09693624,1469.0340230005015
1675404000,1644.39,1644.86,1639.42,1641.11,604.88597355,1491.3743276220016
1675407600,1641.23,1647.68,1636.41,1637.24,169.73951994,1470.4378905600015
1675411200,1637.62,1641.27,1631.2,1641.15,1343.74142361,1521.6338333705016
1675414800,1641.13,1643.98,1640.65,1641.85,209.56345115,1485.7190370685016
1675418400,1641.85,1644.99,1636.01,1644.07,144.84884961,1319.4065974380014
1675422000,1644.08,1651.27,1642.81,1650.01,715.16259935,1225.1539011520013
1675425600,1650.01,1654.35,1645.51,1652.13,240.92226207,1186.8627912270013
1675429200,1652.13,1654.1,1626.28,1636.28,3304.94425053,1323.6980264310012
1675432800,1636,1664.5,1627.63,1661.2,3719.64328569,1279.1515602580012
1675436400,1661.44,1673.39,1651.01,1664.5,5789.08596894,1389.0540875300012
1675440000,1664.57,1674.81,1658.21,1658.21,5027.03874482,1605.429155591001
1675443600,1658.14,1674.05,1656.61,1662,2468.41141684,1516.203675783501
1675447200,1662,1662.65,1651.43,1657.89,2449.11779738,1585.524334783501
1675450800,1657.88,1659.85,1651.33,1652.92,1242.75501659,1562.784780529001
1675454400,1652.61,1661.86,1642.11,1655.4,1397.96484694,1606.835454313501
1675458000,1655.4,1658.48,1652.81,1657.36,542.74833021,1586.363784573501
1675461600,1657.57,1669.88,1657.12,1668.42,1667.34843876,1583.5761150055012
1675465200,1668.53,1671.45,1662.11,1664.4,763.33237571,1610.3322873750012
1675468800,1664.41,1665.75,1658.39,1662.29,405.27881468,1622.9815151305013
1675472400,1662.3,1664.07,1657.26,1659.04,1512.68418947,1685.9608777920014
1675476000,1658.42,1658.6,1650.56,1658.24,2021.83927998,1756.8085431135012
1675479600,1658.48,1658.48,1652.8,1653.67,164.4005744,1756.5415958365015
1675483200,1653.78,1654.94,1650.71,1652.12,476.09913164,1713.1594812380015
1675486800,1652.12,1652.39,1646.27,1650.99,431.13203286,1724.2379103235012
1675490400,1650.98,1655.1,1646.39,1655.1,74.27941079,1720.709438382501
1675494000,1654.79,1659.52,1653.84,1657.99,168.17792952,1693.360204891001
1675497600,1657.99,1659.37,1653,1653,203.80594914,1691.504389244501
1675501200,1653.01,1658.65,1652.15,1658.65,5467.60111682,1799.6372325590012
1675504800,1658.31,1663.86,1658.01,1660.43,5200.42470937,1873.6763037430014
1675508400,1660.54,1663.22,1659.08,1661.21,142.66493101,1591.3552518465012
1675512000,1661.46,1668.2,1661.32,1667.72,3645.67825949,1522.2872275800012
1675515600,1667.61,1694.9,1667.41,1684.34,2890.51064337,1543.392188906501
1675519200,1684.78,1684.78,1673,1681.41,482.21566938,1445.0470825065008
1675522800,1681.41,1681.41,1676.55,1679.29,702.97512571,1418.0580879625008
1675526400,1679.85,1684.57,1672.59,1679.79,531.63410046,1374.741550638501
1675530000,1679.82,1683.82,1677.34,1681.52,672.37008887,1381.222638571501
1675533600,1681.47,1683.67,1674.11,1679.25,924.04396801,1344.057415034001
1675537200,1679.26,1679.77,1675.1,1675.95,190.85503283,1315.433547890001
1675540800,1676,1680.98,1674.41,1679.21,426.13826576,1316.476520444001
1675544400,1679.21,1680.01,1676.01,1678.81,262.24930177,1253.9547760590008
1675548000,1678.82,1688.05,1677.69,1681.21,435.05922786,1174.615773453001
1675551600,1681.2,1682.25,1659.21,1666.19,2177.25755859,1275.2586226625012
1675555200,1666.19,1670.88,1658.77,1662.29,1006.10683553,1301.7590078570013
1675558800,1662.34,1667.57,1662.01,1665.04,678.05500818,1314.1051566230012
1675562400,1665.05,1668.9,1661,1661,660.06498284,1343.394435225501
1675566000,1661.01,1662.09,1657.61,1659.68,1896.86756605,1429.828917052001
1675569600,1659.67,1665.13,1659.67,1664.8,561.21620306,1447.699429748001
1675573200,1664.8,1666.49,1663.61,1666.49,62.38580753,1177.438664283501
1675576800,1666.5,1669.85,1664.07,1667.45,156.30414085,925.2326358575012
1675580400,1667.45,1668.81,1665.28,1668.81,460.03609819,941.1011942165012
1675584000,1668.81,1672.51,1666.23,1670.54,1961.81764145,856.9081633145013
1675587600,1670.53,1671.89,1665.5,1665.5,239.59106381,724.3621843365013
1675591200,1665.49,1669.44,1665.49,1668.96,644.84908914,732.4938553245013
1675594800,1668.98,1668.98,1661.61,1662.62,2041.93944435,799.4420712565013
1675598400,1662.63,1664.5,1635.73,1647.65,6696.92856151,1107.7067943090012
1675602000,1647.12,1652.49,1641.14,1648.15,629.04231432,1105.540405581501
1675605600,1648.16,1654.57,1645.85,1652.81,1713.27325618,1145.0018699900013
